	mean	sd	MC_error	val2.5pc	median	val97.5pc	start	sample
	RR[5]	0.8638	0.3425	0.0027	0.3142	0.8235	1.664	10001	20000
	RR[6]	0.9667	0.2981	0.00227	0.4802	0.9348	1.649	10001	20000
	RR[7]	1.299	0.4189	0.006293	0.6636	1.24	2.279	10001	20000
	RR[8]	1.117	0.36	0.004066	0.5499	1.07	1.958	10001	20000
	RR[9]	0.8048	0.3151	0.002628	0.2927	0.7701	1.52	10001	20000
	RR[10]	1.236	0.4408	0.006509	0.576	1.165	2.303	10001	20000
	RR[11]	0.7497	0.3244	0.003185	0.224	0.7174	1.483	10001	20000
	RR[12]	0.6654	0.2885	0.003854	0.1857	0.6414	1.309	10001	20000
	RR[13]	0.8749	0.2995	0.002117	0.3871	0.8425	1.553	10001	20000
	RR[14]	0.7622	0.2984	0.00267	0.2681	0.733	1.449	10001	20000
	RR[15]	0.9196	0.3712	0.00266	0.3441	0.8725	1.807	10001	20000
	RR[16]	0.7655	0.2799	0.002343	0.3019	0.7364	1.402	10001	20000
	RR[17]	0.8679	0.3437	0.002542	0.3152	0.8258	1.66	10001	20000
	RR[18]	1.025	0.3584	0.003343	0.4645	0.9813	1.859	10001	20000
	RR[19]	0.9211	0.3397	0.002543	0.379	0.8813	1.715	10001	20000
	RR[20]	0.8939	0.3618	0.003024	0.3324	0.8447	1.744	10001	20000
	RR[21]	0.7466	0.2936	0.00285	0.2554	0.7181	1.399	10001	20000
	RR[22]	0.9884	0.3049	0.002361	0.4906	0.9532	1.685	10001	20000
	RR[23]	1.289	0.4366	0.006419	0.6288	1.222	2.334	10001	20000
	RR[24]	0.7232	0.3117	0.003226	0.2105	0.6917	1.425	10001	20000
	RR[25]	1.091	0.3929	0.004138	0.4926	1.036	2.02	10001	20000
	RR[26]	0.8185	0.3255	0.002597	0.2992	0.7811	1.562	10001	20000
	RR[27]	0.7286	0.3146	0.003204	0.2138	0.699	1.422	10001	20000
	RR[28]	0.8724	0.3153	0.002488	0.3544	0.8367	1.6	10001	20000
	RR[29]	0.8694	0.3162	0.002262	0.3558	0.835	1.591	10001	20000
	RR[30]	0.834	0.3298	0.002656	0.3019	0.7961	1.613	10001	20000
	RR[31]	1.096	0.3911	0.004245	0.4904	1.043	2.025	10001	20000
	RR[32]	0.675	0.2913	0.003681	0.1883	0.6473	1.319	10001	20000
	RR[33]	0.6405	0.2777	0.004027	0.1789	0.6162	1.253	10001	20000
	RR[34]	0.8788	0.3202	0.002488	0.3659	0.8401	1.615	10001	20000
	RR[35]	0.6978	0.2571	0.002902	0.2706	0.6726	1.272	10001	20000
	RR[36]	0.7067	0.2552	0.002732	0.2793	0.6845	1.268	10001	20000
	RR[37]	0.9839	0.2431	0.001991	0.5691	0.9622	1.527	10001	20000
	RR[38]	0.7463	0.2936	0.002939	0.261	0.7178	1.409	10001	20000
	RR[39]	0.7859	0.3073	0.002528	0.2795	0.7522	1.482	10001	20000
	RR[40]	0.7892	0.3105	0.002586	0.2793	0.7586	1.49	10001	20000
	RR[41]	0.7503	0.3212	0.003025	0.2256	0.7166	1.473	10001	20000
	RR[42]	0.7472	0.2923	0.002698	0.2667	0.7174	1.409	10001	20000
	RR[43]	1.003	0.3328	0.002607	0.4656	0.9622	1.776	10001	20000
	RR[44]	0.9692	0.3616	0.00271	0.4041	0.923	1.818	10001	20000
	RR[45]	0.8321	0.3633	0.002894	0.2604	0.7895	1.685	10001	20000
	RR[46]	0.6555	0.285	0.003849	0.1805	0.6314	1.289	10001	20000
	RR[47]	0.7078	0.3056	0.003686	0.2051	0.6778	1.394	10001	20000
	RR[48]	0.7602	0.3257	0.003155	0.2257	0.727	1.513	10001	20000
	RR[49]	0.7374	0.2662	0.002592	0.2945	0.7126	1.33	10001	20000
	RR[50]	0.7393	0.3166	0.002961	0.2235	0.7067	1.458	10001	20000
	RR[51]	1.108	0.3549	0.003823	0.5481	1.063	1.945	10001	20000
	RR[52]	0.7576	0.3248	0.003021	0.2307	0.7219	1.497	10001	20000
	RR[53]	0.821	0.3252	0.002439	0.2923	0.7825	1.568	10001	20000
	RR[54]	0.6899	0.296	0.003551	0.2008	0.6643	1.351	10001	20000
	RR[55]	0.8931	0.3578	0.002822	0.3276	0.8495	1.715	10001	20000
	RR[56]	0.6937	0.2982	0.003494	0.1966	0.6664	1.353	10001	20000
	RR[57]	0.7098	0.3076	0.003571	0.2098	0.6757	1.403	10001	20000
	RR[58]	0.8742	0.3496	0.002445	0.315	0.8334	1.683	10001	20000
	RR[59]	0.9158	0.3685	0.002768	0.3327	0.8696	1.774	10001	20000
	RR[60]	0.7565	0.2731	0.002577	0.3021	0.7301	1.362	10001	20000
	RR[61]	0.7475	0.3214	0.002932	0.2217	0.7157	1.46	10001	20000
	RR[62]	0.8499	0.3368	0.002727	0.3092	0.8096	1.626	10001	20000
	RR[63]	0.8504	0.3337	0.002467	0.31	0.8125	1.612	10001	20000
	RR[64]	1.026	0.3886	0.003502	0.4213	0.9696	1.942	10001	20000
	RR[65]	0.7499	0.3253	0.002892	0.2273	0.7122	1.492	10001	20000
	RR[66]	0.6002	0.2392	0.003425	0.1961	0.5793	1.122	10001	20000
	RR[67]	1.043	0.4029	0.004141	0.4317	0.982	2.021	10001	20000
	RR[68]	0.8807	0.3496	0.00249	0.3252	0.8382	1.69	10001	20000
	RR[69]	0.7561	0.2942	0.002961	0.2682	0.7304	1.42	10001	20000
	RR[70]	0.6983	0.3018	0.003222	0.2061	0.6694	1.377	10001	20000
	alpha	6.947	3.581	0.1468	2.438	6.099	15.94	10001	20000
	beta	8.039	3.996	0.1638	2.867	7.163	17.9	10001	20000
	mean	0.8634	0.09009	9.091E-4	0.6978	0.8594	1.049	10001	20000
	variance	0.1356	0.07209	0.002474	0.0474	0.1192	0.3114	10001	20000

Thinning = 5

	Dbar	Dhat	DIC	pD	
O	207.9	193.1	222.7	14.84
total	207.9	193.1	222.7	14.84
