	mean	sd	MC_error	val2.5pc	median	val97.5pc	start	sample
	RR[4]	1.29	0.528	0.004048	0.4789	1.215	2.531	10001	20000
	RR[5]	0.8548	0.4796	0.003433	0.1837	0.7692	2.022	10001	20000
	RR[6]	1.029	0.3853	0.002708	0.4217	0.9808	1.926	10001	20000
	RR[7]	1.663	0.6058	0.004943	0.717	1.578	3.076	10001	20000
	RR[8]	1.291	0.4866	0.003951	0.5338	1.227	2.412	10001	20000
	RR[9]	0.7513	0.4115	0.00269	0.1638	0.6813	1.758	10001	20000
	RR[10]	1.629	0.6856	0.005665	0.6105	1.52	3.251	10001	20000
	RR[11]	0.6317	0.4208	0.002968	0.08029	0.5448	1.682	10001	20000
	RR[12]	0.4996	0.3342	0.002475	0.0598	0.4338	1.327	10001	20000
	RR[13]	0.8837	0.3865	0.002892	0.2991	0.8294	1.8	10001	20000
	RR[14]	0.6787	0.3792	0.002644	0.143	0.6109	1.603	10001	20000
	RR[15]	0.9765	0.5498	0.003945	0.2129	0.8756	2.301	10001	20000
	RR[16]	0.6942	0.336	0.002434	0.2008	0.6427	1.482	10001	20000
	RR[17]	0.859	0.4807	0.003248	0.1882	0.7745	2.048	10001	20000
	RR[18]	1.176	0.5227	0.003953	0.3977	1.099	2.404	10001	20000
	RR[19]	0.967	0.4786	0.003514	0.2795	0.8874	2.12	10001	20000
	RR[20]	0.9228	0.5136	0.003732	0.2035	0.8274	2.168	10001	20000
	RR[21]	0.6581	0.3661	0.002707	0.1423	0.5944	1.537	10001	20000
	RR[22]	1.066	0.3946	0.003108	0.4379	1.018	1.969	10001	20000
	RR[23]	1.68	0.6538	0.005719	0.6785	1.584	3.195	10001	20000
	RR[24]	0.5858	0.3906	0.002925	0.0751	0.509	1.55	10001	20000
	RR[25]	1.305	0.5891	0.004206	0.4242	1.214	2.695	10001	20000
	RR[26]	0.7748	0.4328	0.002846	0.1644	0.7011	1.812	10001	20000
	RR[27]	0.5845	0.3895	0.002861	0.07063	0.508	1.541	10001	20000
	RR[28]	0.8746	0.4267	0.003269	0.2508	0.8049	1.887	10001	20000
	RR[29]	0.8682	0.4251	0.003206	0.2405	0.8003	1.879	10001	20000
	RR[30]	0.8074	0.4503	0.003042	0.1796	0.7258	1.916	10001	20000
	RR[31]	1.33	0.5983	0.004903	0.4442	1.236	2.732	10001	20000
	RR[32]	0.5039	0.3391	0.002615	0.06108	0.4348	1.334	10001	20000
	RR[33]	0.4544	0.3069	0.002505	0.05208	0.3911	1.2	10001	20000
	RR[34]	0.8924	0.4369	0.002773	0.2557	0.8216	1.937	10001	20000
	RR[35]	0.5963	0.2869	0.002165	0.1682	0.5538	1.266	10001	20000
	RR[36]	0.6061	0.2905	0.002399	0.1706	0.5625	1.292	10001	20000
	RR[37]	1.02	0.277	0.001941	0.5539	0.9922	1.632	10001	20000
	RR[38]	0.6544	0.3647	0.002724	0.1359	0.5917	1.532	10001	20000
	RR[39]	0.7227	0.4002	0.002928	0.1596	0.6523	1.677	10001	20000
	RR[40]	0.7256	0.4055	0.00287	0.1549	0.652	1.706	10001	20000
	RR[41]	0.6332	0.4258	0.003052	0.07946	0.5471	1.69	10001	20000
	RR[42]	0.6519	0.3604	0.002574	0.1402	0.5916	1.505	10001	20000
	RR[43]	1.108	0.4468	0.003104	0.4263	1.045	2.153	10001	20000
	RR[44]	1.086	0.5336	0.00395	0.3121	0.9966	2.375	10001	20000
	RR[45]	0.7829	0.529	0.003333	0.09839	0.6722	2.114	10001	20000
	RR[46]	0.4809	0.3243	0.002726	0.05587	0.4141	1.279	10001	20000
	RR[47]	0.5592	0.3743	0.002818	0.06775	0.4844	1.482	10001	20000
	RR[48]	0.6487	0.439	0.0032	0.07881	0.5593	1.726	10001	20000
	RR[49]	0.6551	0.316	0.002477	0.1858	0.6061	1.408	10001	20000
	RR[50]	0.614	0.4116	0.002889	0.07565	0.5322	1.629	10001	20000
	RR[51]	1.289	0.4885	0.003811	0.5265	1.228	2.412	10001	20000
	RR[52]	0.6439	0.4284	0.002975	0.08136	0.5564	1.702	10001	20000
	RR[53]	0.7767	0.4305	0.002996	0.1705	0.6991	1.824	10001	20000
	RR[54]	0.5294	0.3531	0.002819	0.06505	0.4554	1.408	10001	20000
	RR[55]	0.9292	0.5188	0.003914	0.2074	0.8368	2.181	10001	20000
	RR[56]	0.5373	0.3615	0.00279	0.06698	0.4613	1.421	10001	20000
	RR[57]	0.5638	0.3804	0.002912	0.06962	0.4855	1.505	10001	20000
	RR[58]	0.8906	0.5005	0.003714	0.196	0.7989	2.096	10001	20000
	RR[59]	0.9897	0.5615	0.004028	0.2155	0.8819	2.361	10001	20000
	RR[60]	0.6886	0.3339	0.002378	0.1935	0.6371	1.48	10001	20000
	RR[61]	0.6163	0.4116	0.002989	0.07466	0.5357	1.65	10001	20000
	RR[62]	0.8367	0.4661	0.003407	0.1892	0.7511	1.972	10001	20000
	RR[63]	0.8374	0.4665	0.003157	0.1843	0.7532	1.994	10001	20000
	RR[64]	1.21	0.6008	0.004585	0.3467	1.102	2.648	10001	20000
	RR[65]	0.6235	0.4163	0.003148	0.07773	0.5374	1.67	10001	20000
	RR[66]	0.4464	0.2504	0.002036	0.09335	0.4016	1.047	10001	20000
	RR[67]	1.261	0.6342	0.00485	0.3653	1.149	2.804	10001	20000
	RR[68]	0.91	0.5123	0.003676	0.1997	0.8172	2.165	10001	20000
	RR[69]	0.666	0.3715	0.002594	0.1421	0.6018	1.565	10001	20000
	RR[70]	0.5424	0.3664	0.002726	0.06472	0.4673	1.465	10001	20000
	alpha	2.422	0.7393	0.01461	1.276	2.317	4.142	10001	20000
	beta	2.828	0.8872	0.017	1.431	2.708	4.84	10001	20000
	mean	0.8658	0.1067	7.932E-4	0.6735	0.8608	1.09	10001	20000
	variance	0.342	0.1366	0.002125	0.1615	0.3153	0.6842	10001	20000

Thinning = 5

	Dbar	Dhat	DIC	pD	
O	198.0	173.8	222.3	24.29
total	198.0	173.8	222.3	24.29
