11001	2000	391	0
11001	2000	406	5
11001	2000	418	10
11001	2000	459	15
11001	2000	501	20
11001	2000	532	25
11001	2000	586	30
11001	2000	583	35
11001	2000	598	40
11001	2000	627	45
11001	2000	494	50
11001	2000	427	55
11001	2000	335	60
11001	2000	245	65
11001	2000	216	70
11001	2000	137	75
11001	2000	143	80
11001	2000	100	85
11001	2000	49	90
11001	2000	14	95
11001	2000	1	100
11001	2000	0	105
11002	2000	13142	0
11002	2000	11943	5
11002	2000	11732	10
11002	2000	11650	15
11002	2000	14157	20
11002	2000	17199	25
11002	2000	16775	30
11002	2000	15838	35
11002	2000	14703	40
11002	2000	14249	45
11002	2000	12934	50
11002	2000	13150	55
11002	2000	14220	60
11002	2000	14501	65
11002	2000	14197	70
11002	2000	9918	75
11002	2000	8653	80
11002	2000	5121	85
11002	2000	1853	90
11002	2000	341	95
11002	2000	28	100
11002	2000	0	105
11004	2000	355	0
11004	2000	370	5
11004	2000	352	10
11004	2000	344	15
11004	2000	368	20
11004	2000	380	25
11004	2000	460	30
11004	2000	477	35
11004	2000	417	40
11004	2000	395	45
11004	2000	333	50
11004	2000	303	55
11004	2000	296	60
11004	2000	260	65
11004	2000	210	70
11004	2000	159	75
11004	2000	156	80
11004	2000	112	85
11004	2000	55	90
11004	2000	10	95
11004	2000	1	100
11004	2000	0	105
11005	2000	397	0
11005	2000	355	5
11005	2000	324	10
11005	2000	320	15
11005	2000	438	20
11005	2000	585	25
11005	2000	566	30
11005	2000	486	35
11005	2000	408	40
11005	2000	437	45
11005	2000	372	50
11005	2000	438	55
11005	2000	458	60
11005	2000	457	65
11005	2000	476	70
11005	2000	353	75
11005	2000	297	80
11005	2000	169	85
11005	2000	56	90
11005	2000	10	95
11005	2000	1	100
11005	2000	0	105
11007	2000	334	0
11007	2000	303	5
11007	2000	288	10
11007	2000	264	15
11007	2000	327	20
11007	2000	530	25
11007	2000	482	30
11007	2000	427	35
11007	2000	386	40
11007	2000	335	45
11007	2000	279	50
11007	2000	275	55
11007	2000	267	60
11007	2000	227	65
11007	2000	196	70
11007	2000	131	75
11007	2000	119	80
11007	2000	71	85
11007	2000	30	90
11007	2000	6	95
11007	2000	1	100
