11001	4.38	51.13
11002	4.36	51.26
11004	4.52	51.16
11005	4.37	51.09
11007	4.49	51.19
11008	4.5	51.31
11009	4.63	51.33
11013	4.43	51.16
11016	4.46	51.45
11018	4.34	51.15
11021	4.48	51.15
11022	4.46	51.4
11023	4.45	51.33
11024	4.44	51.12
11025	4.5	51.13
11029	4.46	51.18
11030	4.33	51.11
11035	4.59	51.19
11037	4.41	51.1
11038	4.34	51.12
11039	4.58	51.26
11040	4.5	51.27
11044	4.37	51.33
11050	4.52	51.23
11052	4.52	51.21
11053	4.61	51.39
11054	4.68	51.21
11055	4.68	51.26
11056	4.32	51.22
11057	4.7	51.29
12002	4.65	51.11
12005	4.57	51.02
12007	4.25	51.09
12009	4.52	51.1
12014	4.74	51.06
12021	4.57	51.12
12025	4.46	51.04
12026	4.66	51.15
12029	4.62	51.05
12030	4.3	51.06
12034	4.23	51.06
12035	4.53	51.06
12040	4.37	51.05
13001	5.08	51.34
13002	4.89	51.41
13003	5.17	51.16
13004	4.83	51.31
13006	5.12	51.24
13008	4.98	51.17
13010	4.74	51.18
13011	4.83	51.16
13012	4.76	51.14
13013	4.88	51.05
13014	4.76	51.44
13016	4.82	51.06
13017	4.95	51.24
13019	4.83	51.25
13021	5.07	51.13
13023	4.87	51.38
13025	5.19	51.24
13029	4.88	51.17
13031	5.01	51.32
13035	5.02	51.42
13036	5.09	51.26
13037	4.77	51.35
13040	4.94	51.33
13044	4.78	51.22
13046	4.87	51.31
13049	4.88	51.11
13053	5.01	51.08
